AsOfLocal,AsOfTimeZone,AccountId,MaskedAccount,AccountLabel,CashConcept,Amount,SourceExportType,SourceHash,RawStoredPath
2026-06-16 19:59:00,EST,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdraw,243.2329805,balances,a8f1be8c71d303ab7797f7e094373996b606586eaacc22c73f344690df1d2348,data/raw/etrade/balances/20260616-170446-2c4c260b8031-Summary.csv
2026-06-16 19:59:00,EST,900001002,x1002,Individual Brokerage - x1002,CashBuyingPower,243.2329805,balances,a8f1be8c71d303ab7797f7e094373996b606586eaacc22c73f344690df1d2348,data/raw/etrade/balances/20260616-170446-2c4c260b8031-Summary.csv
2026-06-16 19:59:00,EST,900001002,x1002,Individual Brokerage - x1002,MarginBuyingPower,516.0319806,balances,a8f1be8c71d303ab7797f7e094373996b606586eaacc22c73f344690df1d2348,data/raw/etrade/balances/20260616-170446-2c4c260b8031-Summary.csv
2026-06-16 19:59:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,CashAvailToWithdraw,272.225,balances,a8f1be8c71d303ab7797f7e094373996b606586eaacc22c73f344690df1d2348,data/raw/etrade/balances/20260616-170446-2c4c260b8031-Summary.csv
2026-06-16 19:59:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,CashBuyingPower,272.225,balances,a8f1be8c71d303ab7797f7e094373996b606586eaacc22c73f344690df1d2348,data/raw/etrade/balances/20260616-170446-2c4c260b8031-Summary.csv
2026-07-01 19:42:00,EST,900001004,x1004,Individual 401(k) - x1004,CashAvailToWithdraw,27.195,balances,d6a40deab923466b4a00791bb1cecf7875edfe8baf0ef281457e7ee182d89a8a,data/raw/etrade/balances/20260701-235622-3b2c9b5e85ab-demo-b-Summary.csv
2026-07-01 19:42:00,EST,900001004,x1004,Individual 401(k) - x1004,CashBuyingPower,27.195,balances,d6a40deab923466b4a00791bb1cecf7875edfe8baf0ef281457e7ee182d89a8a,data/raw/etrade/balances/20260701-235622-3b2c9b5e85ab-demo-b-Summary.csv
2026-07-01 19:28:00,EST,,,All Accounts - 3 accounts,CashAvailToWithdraw,249.108,balances,327fad9142132fc017baf205802dc4791d5dfebd5888e2a97ba66839ba1bb747,data/raw/etrade/balances/20260701-235622-4840d058856d-demo-a-Summary.csv
2026-07-01 19:28:00,EST,,,All Accounts - 3 accounts,CashBuyingPower,357.2276955,balances,327fad9142132fc017baf205802dc4791d5dfebd5888e2a97ba66839ba1bb747,data/raw/etrade/balances/20260701-235622-4840d058856d-demo-a-Summary.csv
2026-07-01 19:28:00,EST,,,All Accounts - 3 accounts,MarginBuyingPower,519.038,balances,327fad9142132fc017baf205802dc4791d5dfebd5888e2a97ba66839ba1bb747,data/raw/etrade/balances/20260701-235622-4840d058856d-demo-a-Summary.csv
2026-07-01 19:28:00,EST,900001001,x1001,Traditional IRA - x1001,CashBuyingPower,108.1196955,balances,327fad9142132fc017baf205802dc4791d5dfebd5888e2a97ba66839ba1bb747,data/raw/etrade/balances/20260701-235622-4840d058856d-demo-a-Summary.csv
2026-07-01 19:28:00,EST,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdraw,206.745,balances,327fad9142132fc017baf205802dc4791d5dfebd5888e2a97ba66839ba1bb747,data/raw/etrade/balances/20260701-235622-4840d058856d-demo-a-Summary.csv
2026-07-01 19:28:00,EST,900001002,x1002,Individual Brokerage - x1002,CashBuyingPower,206.745,balances,327fad9142132fc017baf205802dc4791d5dfebd5888e2a97ba66839ba1bb747,data/raw/etrade/balances/20260701-235622-4840d058856d-demo-a-Summary.csv
2026-07-01 19:28:00,EST,900001002,x1002,Individual Brokerage - x1002,MarginBuyingPower,519.038,balances,327fad9142132fc017baf205802dc4791d5dfebd5888e2a97ba66839ba1bb747,data/raw/etrade/balances/20260701-235622-4840d058856d-demo-a-Summary.csv
2026-07-01 19:28:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,CashAvailToWithdraw,42.363,balances,327fad9142132fc017baf205802dc4791d5dfebd5888e2a97ba66839ba1bb747,data/raw/etrade/balances/20260701-235622-4840d058856d-demo-a-Summary.csv
2026-07-01 19:28:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,CashBuyingPower,42.363,balances,327fad9142132fc017baf205802dc4791d5dfebd5888e2a97ba66839ba1bb747,data/raw/etrade/balances/20260701-235622-4840d058856d-demo-a-Summary.csv
