ActivityDate,ActivityDateTime,AccountId,MaskedAccount,AccountLabel,IncomeType,Description,Symbol,Amount,SourceHash,RawStoredPath
2021-07-26,2021-07-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 06/26 THRU 07/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-08-26,2021-08-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 07/26 THRU 08/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-09-09,2021-09-09 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of MSFT @ $0,MSFT,5.208,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-09-27,2021-09-27 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 08/26 THRU 09/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-09-29,2021-09-29 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of VUG @ $0,VUG,7.978,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-10-26,2021-10-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 09/26 THRU 10/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-11-26,2021-11-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 10/26 THRU 11/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-12-09,2021-12-09 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of MSFT @ $0,MSFT,5.766,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-12-27,2021-12-27 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 11/26 THRU 12/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-12-30,2021-12-30 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of VUG @ $0,VUG,11.819,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-01-26,2022-01-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 12/26 THRU 01/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-02-28,2022-02-28 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 01/26 THRU 02/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-03-10,2022-03-10 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of MSFT @ $0,MSFT,5.766,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-03-28,2022-03-28 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of VUG @ $0,VUG,7.575,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-03-28,2022-03-28 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 02/26 THRU 03/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-04-26,2022-04-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 03/26 THRU 04/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-05-26,2022-05-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 04/26 THRU 05/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-06-09,2022-06-09 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of MSFT @ $0,MSFT,5.766,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-06-27,2022-06-27 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 05/26 THRU 06/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-06-28,2022-06-28 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of VUG @ $0,VUG,8.079,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-07-26,2022-07-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 06/26 THRU 07/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-08-26,2022-08-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 07/26 THRU 08/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-09-08,2022-09-08 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of MSFT @ $0,MSFT,5.766,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-09-26,2022-09-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 08/26 THRU 09/25 APY 0.0099%,,0.002,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-09-28,2022-09-28 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of VUG @ $0,VUG,10.826,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-10-26,2022-10-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 09/26 THRU 10/25 APY 0.0099%,,0.002,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-11-28,2022-11-28 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 10/26 THRU 11/25 APY 0.0099%,,0.002,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-12-08,2022-12-08 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of MSFT @ $0,MSFT,6.324,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-12-27,2022-12-27 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 11/26 THRU 12/25 APY 0.0099%,,0.002,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2022-12-28,2022-12-28 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of VUG @ $0,VUG,11.297,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2023-01-26,2023-01-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 12/26 THRU 01/25 APY 0.0099%,,0.002,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2023-02-27,2023-02-27 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 01/26 THRU 02/25 APY 0.0099%,,0.002,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2023-03-09,2023-03-09 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of MSFT @ $0,MSFT,6.324,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2023-03-27,2023-03-27 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 02/26 THRU 03/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2023-03-28,2023-03-28 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of VUG @ $0,VUG,10.816,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2023-06-08,2023-06-08 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of MSFT @ $0,MSFT,6.868,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2023-06-28,2023-06-28 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of VUG @ $0,VUG,10.387,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2023-09-14,2023-09-14 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of MSFT @ $0,MSFT,6.868,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2023-09-26,2023-09-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of VUG @ $0,VUG,9.473,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2023-10-31,2023-10-31 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,MORGAN STANLEY BANK N.A. (Period 10/01-10/31),,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2023-11-30,2023-11-30 03:00:00,900001002,x1002,Individual Brokerage - x1002,Interest,MORGAN STANLEY BANK N.A. (Period 11/01-11/30),,0.001,7d7cfd27bcd87c409b3c08f7d6ff8bfdbbe41bd2ef331c2444845e0e17b01bbc,data/raw/etrade/account_history/20260614-205836-7d7cfd27bcd8-1002History.csv
2023-12-14,2023-12-14 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of MSFT @ $0,MSFT,7.575,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2023-12-27,2023-12-27 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of VUG @ $0,VUG,14.734,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2023-12-29,2023-12-29 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,MORGAN STANLEY PRIVATE BANK NA (Period 12/01-12/31),,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2024-01-18,2024-01-18 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of BABA @ $0,BABA,14.4,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2024-01-31,2024-01-31 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Interest,MORGAN STANLEY PRIVATE BANK NA (Period 01/01-01/31),,0.003,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-01-31,2024-01-31 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,MORGAN STANLEY BANK N.A. (Period 01/01-01/31),,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2024-02-29,2024-02-29 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,MORGAN STANLEY BANK N.A. (Period 02/01-02/29),,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2024-03-14,2024-03-14 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Dividend,0 of MSFT @ $0,MSFT,27.45,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-03-14,2024-03-14 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of MSFT @ $0,MSFT,7.575,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2024-03-26,2024-03-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of VUG @ $0,VUG,11.784,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2024-03-27,2024-03-27 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Dividend,0 of TECB @ $0,TECB,1.832,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-03-27,2024-03-27 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Dividend,0 of VOO @ $0,VOO,3.24,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-03-28,2024-03-28 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Interest,MORGAN STANLEY PRIVATE BANK NA (Period 03/01-03/31),,0.001,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-03-28,2024-03-28 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,MORGAN STANLEY BANK N.A. (Period 03/01-03/31),,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2024-04-04,2024-04-04 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Dividend,0 of JEPQ @ $0,JEPQ,1.624,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-04-30,2024-04-30 03:00:00,900001002,x1002,Individual Brokerage - x1002,Interest,MORGAN STANLEY BANK N.A. (Period 04/01-04/30),,0.001,7d7cfd27bcd87c409b3c08f7d6ff8bfdbbe41bd2ef331c2444845e0e17b01bbc,data/raw/etrade/account_history/20260614-205836-7d7cfd27bcd8-1002History.csv
2024-04-30,2024-04-30 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Dividend,0 of SVOL @ $0,SVOL,6.03,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-04-30,2024-04-30 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Interest,MORGAN STANLEY PRIVATE BANK NA (Period 04/01-04/30),,0.001,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-04-30,2024-04-30 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,MORGAN STANLEY BANK N.A. (Period 04/01-04/30),,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2024-05-06,2024-05-06 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Dividend,0 of JEPQ @ $0,JEPQ,3.708,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-05-31,2024-05-31 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Dividend,0 of SVOL @ $0,SVOL,6.03,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-05-31,2024-05-31 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Interest,MORGAN STANLEY PRIVATE BANK NA (Period 05/01-05/31),,0.017,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-05-31,2024-05-31 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,MORGAN STANLEY BANK N.A. (Period 05/01-05/31),,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2024-06-05,2024-06-05 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Dividend,0 of JEPQ @ $0,JEPQ,30.535,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-06-13,2024-06-13 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Dividend,0 of MSFT @ $0,MSFT,25.95,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-06-13,2024-06-13 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of MSFT @ $0,MSFT,7.575,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2024-06-17,2024-06-17 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Dividend,0 of TECB @ $0,TECB,0.479,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-06-28,2024-06-28 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Interest,MORGAN STANLEY PRIVATE BANK NA (Period 06/01-06/30),,0.001,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-06-28,2024-06-28 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,MORGAN STANLEY BANK N.A. (Period 06/01-06/30),,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2024-07-01,2024-07-01 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of VUG @ $0,VUG,11.491,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2024-07-02,2024-07-02 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Dividend,0 of VOO @ $0,VOO,3.745,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-07-03,2024-07-03 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Dividend,0 of JEPQ @ $0,JEPQ,28.596,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-07-12,2024-07-12 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of BABA @ $0,BABA,23.904,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2024-07-31,2024-07-31 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Interest,MORGAN STANLEY PRIVATE BANK NA (Period 07/01-07/31),,0.003,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-07-31,2024-07-31 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,MORGAN STANLEY BANK N.A. (Period 07/01-07/31),,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2024-08-27,2024-08-27 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Dividend,0 of RGA @ $0,RGA,6.497,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-08-30,2024-08-30 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Interest,MORGAN STANLEY PRIVATE BANK NA (Period 08/01-08/31),,0.049,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
2024-08-30,2024-08-30 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,MORGAN STANLEY BANK N.A. (Period 08/01-08/31),,0.032,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2024-09-12,2024-09-12 03:00:00,900001003,x1003,Partnership / LLC / LLP - x1003,Dividend,0 of MSFT @ $0,MSFT,9,457985b068300ce91b85c08e97614cb005b2b21d39f569228e87d87734c1c73f,data/raw/etrade/account_history/20260614-205753-457985b06830-1003History.csv
